Date,Price,Open,High,Low,Vol,Change%
"Mar 20, 2024","2,182.40","2,182.60","2,213.60","2,173.60",54.11K,+0.06%
"Mar 19, 2024","2,181.20","2,185.60","2,187.80","2,171.90",41.98K,-0.22%
"Mar 18, 2024","2,185.90","2,181.40","2,188.70","2,170.80",52.41K,+0.13%
"Mar 15, 2024","2,183.10","2,188.70","2,198.20","2,180.40",28.57K,-0.27%
"Mar 14, 2024","2,189.10","2,201.30","2,202.60","2,178.40",28.53K,-0.60%
"Mar 13, 2024","2,202.40","2,185.20","2,206.90","2,183.00",65.07K,+0.67%
"Mar 12, 2024","2,187.70","2,209.60","2,211.90","2,178.00",67.25K,-1.01%
"Mar 11, 2024","2,210.00","2,208.50","2,216.30","2,202.20",83.44K,+0.17%
"Mar 08, 2024","2,206.30","2,187.20","2,223.30","2,182.10",108.34K,+0.93%
"Mar 07, 2024","2,185.90","2,177.10","2,192.70","2,172.60",61.74K,+0.33%
"Mar 06, 2024","2,178.80","2,157.00","2,181.10","2,152.80",34.24K,+0.75%
"Mar 05, 2024","2,162.50","2,143.50","2,170.80","2,139.20",20.58K,+0.73%
"Mar 04, 2024","2,146.80","2,111.70","2,148.60","2,108.50",43.27K,+1.46%
"Mar 01, 2024","2,116.00","2,072.40","2,117.40","2,067.10",46.81K,+2.00%
"Feb 29, 2024","2,074.60","2,063.40","2,079.20","2,056.10",9.73K,+0.58%
"Feb 28, 2024","2,062.70","2,059.70","2,067.30","2,053.60",4.89K,-0.07%
"Feb 27, 2024","2,064.10","2,060.70","2,068.80","2,058.40",6.03K,+0.26%
"Feb 26, 2024","2,058.80","2,064.00","2,066.50","2,054.10",4.57K,-0.51%
"Feb 23, 2024","2,069.30","2,054.20","2,073.00","2,045.50",7.46K,+0.92%
"Feb 22, 2024","2,050.50","2,055.80","2,064.80","2,049.20",4.85K,-0.17%
"Feb 21, 2024","2,054.00","2,055.90","2,063.10","2,050.80",4.49K,-0.27%
"Feb 20, 2024","2,059.60","2,049.80","2,062.20","2,044.20",8.14K,+0.97%
"Feb 19, 2024","2,039.80","2,027.70","2,042.70","2,023.90",202.43K,-0.20%
"Feb 16, 2024","2,043.90","2,036.10","2,046.80","2,026.60",4.74K,+0.45%
"Feb 15, 2024","2,034.70","2,024.80","2,040.00","2,021.80",7.76K,+0.53%
"Feb 14, 2024","2,024.00","2,025.70","2,028.50","2,016.30",8.23K,-0.15%
"Feb 13, 2024","2,027.10","2,053.40","2,067.00","2,022.80",8.87K,-1.26%
"Feb 12, 2024","2,053.00","2,058.10","2,061.40","2,045.40",4.65K,-0.27%
"Feb 09, 2024","2,058.60","2,069.60","2,071.60","2,054.40",7.53K,-0.44%
"Feb 08, 2024","2,067.80","2,070.60","2,073.50","2,054.70",6.39K,-0.18%
"Feb 07, 2024","2,071.50","2,072.00","2,080.90","2,066.20",5.89K,+0.01%
"Feb 06, 2024","2,071.20","2,061.40","2,074.80","2,058.70",4.48K,+0.41%
"Feb 05, 2024","2,062.70","2,076.20","2,077.60","2,050.80",6.97K,-0.52%
"Feb 02, 2024","2,073.40","2,091.80","2,094.10","2,064.00",12.91K,-0.82%
"Feb 01, 2024","2,090.60","2,076.90","2,102.50","2,066.00",9.17K,+0.17%
"Jan 31, 2024","2,087.00","2,075.00","2,093.90","2,068.50",6.85K,+0.80%
"Jan 30, 2024","2,070.50","2,071.30","2,086.70","2,066.80",6.11K,+1.27%
"Jan 29, 2024","2,044.60","2,043.00","2,056.20","2,037.70",184.04K,+0.42%
"Jan 26, 2024","2,036.10","2,040.00","2,046.80","2,034.40",87.45K,-0.03%
"Jan 25, 2024","2,036.80","2,033.90","2,044.70","2,023.30",93.34K,+0.08%
"Jan 24, 2024","2,035.20","2,049.70","2,057.20","2,031.10",77.56K,-0.49%
"Jan 23, 2024","2,045.20","2,042.60","2,058.50","2,040.00",45.69K,+0.18%
"Jan 22, 2024","2,041.60","2,051.40","2,053.40","2,036.80",36.42K,-0.34%
"Jan 19, 2024","2,048.60","2,046.30","2,061.10","2,041.70",27.44K,+0.37%
"Jan 18, 2024","2,041.10","2,028.60","2,044.90","2,027.30",28.97K,+0.75%
"Jan 17, 2024","2,026.00","2,051.20","2,055.60","2,024.30",26.64K,-1.17%
"Jan 16, 2024","2,049.90","2,073.20","2,082.20","2,047.50",25.50K,+0.97%
"Jan 15, 2024","2,030.20","2,053.40","2,062.80","2,027.60",285.25K,-1.99%
"Jan 12, 2024","2,071.40","2,053.20","2,086.70","2,052.90",59.97K,+1.59%
"Jan 11, 2024","2,039.00","2,049.30","2,075.00","2,037.30",65.58K,-0.43%
"Jan 10, 2024","2,047.80","2,055.50","2,066.00","2,045.80",54.81K,-0.25%
"Jan 09, 2024","2,053.00","2,054.10","2,068.40","2,051.90",63.81K,-0.02%
"Jan 08, 2024","2,053.40","2,071.90","2,073.00","2,042.70",45.41K,-0.79%
"Jan 05, 2024","2,069.70","2,071.30","2,090.70","2,051.00",19.59K,-0.01%
"Jan 04, 2024","2,069.90","2,069.20","2,077.60","2,063.10",11.28K,+0.35%
"Jan 03, 2024","2,062.70","2,087.90","2,093.90","2,058.50",24.42K,-1.47%
"Jan 02, 2024","2,093.50","2,092.70","2,107.70","2,084.70",11.49K,+0.08%
"Dec 29, 2023","2,091.80","2,096.00","2,103.30","2,087.50",8.30K,-0.56%
"Dec 28, 2023","2,103.50","2,109.10","2,118.00","2,094.60",8.11K,-0.44%
"Dec 27, 2023","2,112.90","2,098.60","2,115.20","2,092.80",6.47K,+1.12%
